xmin,ymin,xmax,ymax,label,score,geometry,image_path
330.09103,342.60925,373.7733,391.73224,Tree,0.79866874,"POLYGON ((373.7732849121094 342.6092529296875, 373.7732849121094 391.73223876953125, 330.0910339355469 391.73223876953125, 330.0910339355469 342.6092529296875, 373.7732849121094 342.6092529296875))",OSBS_029.png
216.15887,206.55373,248.66385,242.58086,Tree,0.77442706,"POLYGON ((248.66384887695312 206.55372619628906, 248.66384887695312 242.5808563232422, 216.15887451171875 242.5808563232422, 216.15887451171875 206.55372619628906, 248.66384887695312 206.55372619628906))",OSBS_029.png
325.28906,44.00254,363.44702,82.30445,Tree,0.7480206,"POLYGON ((363.447021484375 44.002540588378906, 363.447021484375 82.30445098876953, 325.2890625 82.30445098876953, 325.2890625 44.002540588378906, 363.447021484375 44.002540588378906))",OSBS_029.png
260.95435,238.58171,296.4422,276.74658,Tree,0.7433478,"POLYGON ((296.44219970703125 238.5817108154297, 296.44219970703125 276.74658203125, 260.954345703125 276.74658203125, 260.954345703125 238.5817108154297, 296.44219970703125 238.5817108154297))",OSBS_029.png
173.00087,0.0,229.04567,33.814117,Tree,0.73177594,"POLYGON ((229.04566955566406 0, 229.04566955566406 33.814117431640625, 173.00086975097656 33.814117431640625, 173.00086975097656 0, 229.04566955566406 0))",OSBS_029.png
258.29645,198.20009,291.58887,231.06224,Tree,0.71235204,"POLYGON ((291.5888671875 198.20008850097656, 291.5888671875 231.06224060058594, 258.29644775390625 231.06224060058594, 258.29644775390625 198.20008850097656, 291.5888671875 198.20008850097656))",OSBS_029.png
97.60774,304.9629,152.77513,363.30695,Tree,0.7089194,"POLYGON ((152.77513122558594 304.962890625, 152.77513122558594 363.30694580078125, 97.60774230957031 363.30694580078125, 97.60774230957031 304.962890625, 152.77513122558594 304.962890625))",OSBS_029.png
52.43736,72.00105,85.04631,108.67201,Tree,0.6976067,"POLYGON ((85.04631042480469 72.00105285644531, 85.04631042480469 108.67201232910156, 52.43735885620117 108.67201232910156, 52.43735885620117 72.00105285644531, 85.04631042480469 72.00105285644531))",OSBS_029.png
249.38356,51.004066,277.15393,81.496544,Tree,0.6858655,"POLYGON ((277.1539306640625 51.004066467285156, 277.1539306640625 81.49654388427734, 249.38356018066406 81.49654388427734, 249.38356018066406 51.004066467285156, 277.1539306640625 51.004066467285156))",OSBS_029.png
292.33447,368.6277,332.7008,400.0,Tree,0.68228054,"POLYGON ((332.7008056640625 368.627685546875, 332.7008056640625 400, 292.33447265625 400, 292.33447265625 368.627685546875, 332.7008056640625 368.627685546875))",OSBS_029.png
317.61758,181.13272,345.7062,210.81723,Tree,0.6810084,"POLYGON ((345.7062072753906 181.13272094726562, 345.7062072753906 210.81723022460938, 317.6175842285156 210.81723022460938, 317.6175842285156 181.13272094726562, 345.7062072753906 181.13272094726562))",OSBS_029.png
18.385998,346.024,57.13483,388.3864,Tree,0.6689467,"POLYGON ((57.134830474853516 346.02398681640625, 57.134830474853516 388.38641357421875, 18.385997772216797 388.38641357421875, 18.385997772216797 346.02398681640625, 57.134830474853516 346.02398681640625))",OSBS_029.png
272.59323,330.20557,305.63022,367.76294,Tree,0.6622124,"POLYGON ((305.6302185058594 330.20556640625, 305.6302185058594 367.762939453125, 272.5932312011719 367.762939453125, 272.5932312011719 330.20556640625, 305.6302185058594 330.20556640625))",OSBS_029.png
277.7114,0.087501526,311.46896,31.816605,Tree,0.65094405,"POLYGON ((311.4689636230469 0.0875015258789062, 311.4689636230469 31.816604614257812, 277.7113952636719 31.816604614257812, 277.7113952636719 0.0875015258789062, 311.4689636230469 0.0875015258789062))",OSBS_029.png
195.09113,339.49405,227.2514,371.75546,Tree,0.6432628,"POLYGON ((227.25140380859375 339.4940490722656, 227.25140380859375 371.7554626464844, 195.09112548828125 371.7554626464844, 195.09112548828125 339.4940490722656, 227.25140380859375 339.4940490722656))",OSBS_029.png
190.88474,78.82976,244.54272,138.51524,Tree,0.6292762,"POLYGON ((244.542724609375 78.82975769042969, 244.542724609375 138.51524353027344, 190.88473510742188 138.51524353027344, 190.88473510742188 78.82975769042969, 244.542724609375 78.82975769042969))",OSBS_029.png
0.07339668,143.98192,44.322136,208.43446,Tree,0.62068707,"POLYGON ((44.32213592529297 143.98191833496094, 44.32213592529297 208.43446350097656, 0.0733966827392578 208.43446350097656, 0.0733966827392578 143.98191833496094, 44.32213592529297 143.98191833496094))",OSBS_029.png
184.99039,256.2938,229.69159,301.77774,Tree,0.59998906,"POLYGON ((229.69158935546875 256.2937927246094, 229.69158935546875 301.7777404785156, 184.99038696289062 301.7777404785156, 184.99038696289062 256.2937927246094, 229.69158935546875 256.2937927246094))",OSBS_029.png
382.12888,264.4313,400.0,298.96048,Tree,0.59535617,"POLYGON ((400 264.4313049316406, 400 298.9604797363281, 382.1288757324219 298.9604797363281, 382.1288757324219 264.4313049316406, 400 264.4313049316406))",OSBS_029.png
234.1343,296.5451,273.92224,339.50092,Tree,0.5885783,"POLYGON ((273.9222412109375 296.54510498046875, 273.9222412109375 339.50091552734375, 234.13429260253906 339.50091552734375, 234.13429260253906 296.54510498046875, 273.9222412109375 296.54510498046875))",OSBS_029.png
289.372,83.09029,332.3022,128.22327,Tree,0.57281625,"POLYGON ((332.30218505859375 83.09028625488281, 332.30218505859375 128.2232666015625, 289.37200927734375 128.2232666015625, 289.37200927734375 83.09028625488281, 332.30218505859375 83.09028625488281))",OSBS_029.png
178.36401,372.0353,206.77496,398.52194,Tree,0.5500265,"POLYGON ((206.77496337890625 372.0353088378906, 206.77496337890625 398.5219421386719, 178.364013671875 398.5219421386719, 178.364013671875 372.0353088378906, 206.77496337890625 372.0353088378906))",OSBS_029.png
327.42743,119.70262,359.0022,151.91115,Tree,0.54378843,"POLYGON ((359.002197265625 119.70262145996094, 359.002197265625 151.91114807128906, 327.42742919921875 151.91114807128906, 327.42742919921875 119.70262145996094, 359.002197265625 119.70262145996094))",OSBS_029.png
0.0,48.865765,30.664795,106.84645,Tree,0.5426793,"POLYGON ((30.664794921875 48.86576461791992, 30.664794921875 106.84645080566406, 0 106.84645080566406, 0 48.86576461791992, 30.664794921875 48.86576461791992))",OSBS_029.png
159.84486,167.09445,197.59755,216.8505,Tree,0.53171235,"POLYGON ((197.59754943847656 167.09445190429688, 197.59754943847656 216.85049438476562, 159.84486389160156 216.85049438476562, 159.84486389160156 167.09445190429688, 197.59754943847656 167.09445190429688))",OSBS_029.png
374.30896,207.69911,398.1941,234.51698,Tree,0.5311878,"POLYGON ((398.194091796875 207.69911193847656, 398.194091796875 234.51698303222656, 374.3089599609375 234.51698303222656, 374.3089599609375 207.69911193847656, 398.194091796875 207.69911193847656))",OSBS_029.png
58.799572,294.70367,101.15817,338.7265,Tree,0.53033894,"POLYGON ((101.15817260742188 294.70367431640625, 101.15817260742188 338.72650146484375, 58.7995719909668 338.72650146484375, 58.7995719909668 294.70367431640625, 101.15817260742188 294.70367431640625))",OSBS_029.png
3.5411434,216.68593,40.623413,251.76506,Tree,0.5261632,"POLYGON ((40.6234130859375 216.68592834472656, 40.6234130859375 251.7650604248047, 3.5411434173583984 251.7650604248047, 3.5411434173583984 216.68592834472656, 40.6234130859375 216.68592834472656))",OSBS_029.png
40.38655,0.9239998,94.05777,49.124115,Tree,0.52415645,"POLYGON ((94.05776977539062 0.9239997863769531, 94.05776977539062 49.124114990234375, 40.38655090332031 49.124114990234375, 40.38655090332031 0.9239997863769531, 94.05776977539062 0.9239997863769531))",OSBS_029.png
104.22014,181.793,155.8947,243.96982,Tree,0.52386683,"POLYGON ((155.8946990966797 181.79299926757812, 155.8946990966797 243.96981811523438, 104.22013854980469 243.96981811523438, 104.22013854980469 181.79299926757812, 155.8946990966797 181.79299926757812))",OSBS_029.png
286.47205,137.90546,316.48486,166.3417,Tree,0.5225251,"POLYGON ((316.48486328125 137.90545654296875, 316.48486328125 166.34170532226562, 286.4720458984375 166.34170532226562, 286.4720458984375 137.90545654296875, 316.48486328125 137.90545654296875))",OSBS_029.png
228.21191,388.88034,252.53668,399.85873,Tree,0.51798034,"POLYGON ((252.53668212890625 388.8803405761719, 252.53668212890625 399.8587341308594, 228.2119140625 399.8587341308594, 228.2119140625 388.8803405761719, 252.53668212890625 388.8803405761719))",OSBS_029.png
369.09406,10.392029,399.72504,54.765068,Tree,0.5173813,"POLYGON ((399.72503662109375 10.39202880859375, 399.72503662109375 54.76506805419922, 369.09405517578125 54.76506805419922, 369.09405517578125 10.39202880859375, 399.72503662109375 10.39202880859375))",OSBS_029.png
55.17816,189.95119,89.72156,232.39742,Tree,0.5010405,"POLYGON ((89.7215576171875 189.95118713378906, 89.7215576171875 232.3974151611328, 55.17816162109375 232.3974151611328, 55.17816162109375 189.95118713378906, 89.7215576171875 189.95118713378906))",OSBS_029.png
311.96368,6.909954,344.62372,40.52404,Tree,0.5008889,"POLYGON ((344.62371826171875 6.909954071044922, 344.62371826171875 40.52404022216797, 311.96368408203125 40.52404022216797, 311.96368408203125 6.909954071044922, 344.62371826171875 6.909954071044922))",OSBS_029.png
75.84384,144.1418,114.228775,182.13722,Tree,0.489613,"POLYGON ((114.22877502441406 144.1417999267578, 114.22877502441406 182.13722229003906, 75.84384155273438 182.13722229003906, 75.84384155273438 144.1417999267578, 114.22877502441406 144.1417999267578))",OSBS_029.png
365.9745,118.46242,389.036,142.22478,Tree,0.48707426,"POLYGON ((389.0360107421875 118.46241760253906, 389.0360107421875 142.2247772216797, 365.9744873046875 142.2247772216797, 365.9744873046875 118.46241760253906, 389.0360107421875 118.46241760253906))",OSBS_029.png
118.47355,68.09478,147.09695,96.8511,Tree,0.48538837,"POLYGON ((147.09695434570312 68.09477996826172, 147.09695434570312 96.8510971069336, 118.47354888916016 96.8510971069336, 118.47354888916016 68.09477996826172, 147.09695434570312 68.09477996826172))",OSBS_029.png
145.48512,386.4747,176.13646,400.0,Tree,0.48134205,"POLYGON ((176.13645935058594 386.4747009277344, 176.13645935058594 400, 145.48512268066406 400, 145.48512268066406 386.4747009277344, 176.13645935058594 386.4747009277344))",OSBS_029.png
0.0,258.19547,21.449787,291.4158,Tree,0.45817295,"POLYGON ((21.449787139892578 258.1954650878906, 21.449787139892578 291.4158020019531, 0 291.4158020019531, 0 258.1954650878906, 21.449787139892578 258.1954650878906))",OSBS_029.png
101.96245,30.345676,131.03352,63.700047,Tree,0.4148509,"POLYGON ((131.0335235595703 30.34567642211914, 131.0335235595703 63.70004653930664, 101.96244812011719 63.70004653930664, 101.96244812011719 30.34567642211914, 131.0335235595703 30.34567642211914))",OSBS_029.png
390.24463,375.0784,399.78992,399.98483,Tree,0.40922743,"POLYGON ((399.7899169921875 375.0783996582031, 399.7899169921875 399.9848327636719, 390.24462890625 399.9848327636719, 390.24462890625 375.0783996582031, 399.7899169921875 375.0783996582031))",OSBS_029.png
88.010315,365.33286,107.593506,387.79544,Tree,0.40024406,"POLYGON ((107.593505859375 365.3328552246094, 107.593505859375 387.7954406738281, 88.01031494140625 387.7954406738281, 88.01031494140625 365.3328552246094, 107.593505859375 365.3328552246094))",OSBS_029.png
231.86676,243.16136,253.03409,263.42044,Tree,0.3957196,"POLYGON ((253.03408813476562 243.16136169433594, 253.03408813476562 263.4204406738281, 231.86676025390625 263.4204406738281, 231.86676025390625 243.16136169433594, 253.03408813476562 243.16136169433594))",OSBS_029.png
388.87497,175.62169,399.913,200.21046,Tree,0.388818,"POLYGON ((399.9129943847656 175.62168884277344, 399.9129943847656 200.21046447753906, 388.8749694824219 200.21046447753906, 388.8749694824219 175.62168884277344, 399.9129943847656 175.62168884277344))",OSBS_029.png
101.73683,124.70603,121.38435,146.2006,Tree,0.38785145,"POLYGON ((121.38435363769531 124.7060317993164, 121.38435363769531 146.2006072998047, 101.73683166503906 146.2006072998047, 101.73683166503906 124.7060317993164, 121.38435363769531 124.7060317993164))",OSBS_029.png
384.21832,321.02264,400.0,353.01917,Tree,0.38475105,"POLYGON ((400 321.02264404296875, 400 353.0191650390625, 384.21832275390625 353.0191650390625, 384.21832275390625 321.02264404296875, 400 321.02264404296875))",OSBS_029.png
71.85419,250.83562,116.764755,299.03122,Tree,0.3833066,"POLYGON ((116.76475524902344 250.8356170654297, 116.76475524902344 299.0312194824219, 71.85418701171875 299.0312194824219, 71.85418701171875 250.8356170654297, 116.76475524902344 250.8356170654297))",OSBS_029.png
130.21448,99.74305,183.59085,151.94797,Tree,0.36836746,"POLYGON ((183.59085083007812 99.74304962158203, 183.59085083007812 151.94796752929688, 130.2144775390625 151.94796752929688, 130.2144775390625 99.74304962158203, 183.59085083007812 99.74304962158203))",OSBS_029.png
381.3843,75.71098,400.0,108.897415,Tree,0.34975776,"POLYGON ((400 75.71098327636719, 400 108.89741516113281, 381.3843078613281 108.89741516113281, 381.3843078613281 75.71098327636719, 400 75.71098327636719))",OSBS_029.png
0.09732103,200.8577,8.1543045,229.28748,Tree,0.33102775,"POLYGON ((8.154304504394531 200.85769653320312, 8.154304504394531 229.2874755859375, 0.0973210334777832 229.2874755859375, 0.0973210334777832 200.85769653320312, 8.154304504394531 200.85769653320312))",OSBS_029.png
312.81546,334.45892,337.46872,358.9124,Tree,0.3218587,"POLYGON ((337.4687194824219 334.45892333984375, 337.4687194824219 358.91241455078125, 312.8154602050781 358.91241455078125, 312.8154602050781 334.45892333984375, 337.4687194824219 334.45892333984375))",OSBS_029.png
331.01093,88.34979,355.0843,112.748215,Tree,0.31396136,"POLYGON ((355.08428955078125 88.34979248046875, 355.08428955078125 112.74821472167969, 331.01092529296875 112.74821472167969, 331.01092529296875 88.34979248046875, 355.08428955078125 88.34979248046875))",OSBS_029.png
0.30801392,375.08896,8.611399,398.00217,Tree,0.31328648,"POLYGON ((8.611398696899414 375.0889587402344, 8.611398696899414 398.0021667480469, 0.308013916015625 398.0021667480469, 0.308013916015625 375.0889587402344, 8.611398696899414 375.0889587402344))",OSBS_029.png
162.20432,264.20712,188.10788,292.89273,Tree,0.30330783,"POLYGON ((188.10787963867188 264.2071228027344, 188.10787963867188 292.8927307128906, 162.20431518554688 292.8927307128906, 162.20431518554688 264.2071228027344, 188.10787963867188 264.2071228027344))",OSBS_029.png
